poem,dataset,bertranker_all,bertranker_coherent,bertranker_grammatical,bertranker_melodious,bertranker_moved,bertranker_real,bertranker_rhyming,bertranker_readable,bertranker_comprehensible,bertranker_intense,bertranker_liking,crowdgppl_all,crowdgppl_coherent,crowdgppl_grammatical,crowdgppl_melodious,crowdgppl_moved,crowdgppl_real,crowdgppl_rhyming,crowdgppl_readable,crowdgppl_comprehensible,crowdgppl_intense,crowdgppl_liking,bws_all,bws_coherent,bws_grammatical,bws_melodious,bws_moved,bws_real,bws_rhyming,bws_readable,bws_comprehensible,bws_intense,bws_liking,gppl_all,gppl_coherent,gppl_grammatical,gppl_melodious,gppl_moved,gppl_real,gppl_rhyming,gppl_readable,gppl_comprehensible,gppl_intense,gppl_liking
"yet in the virgin writing felt the air <br>one object only might in one great praise <br>pity , as a form , he would have scarred <br>like silken looks fast sleeping by wood 's hillside",jhamtani,-0.23295462131500244,-0.24682097136974335,-0.25519365072250366,-0.25649362802505493,-0.2541360855102539,-0.2558959722518921,-0.24480026960372925,-0.26033106446266174,-0.2551197409629822,-0.25396600365638733,-0.2528298795223236,-1.2510787877151412,-1.2510787877151412,0.9791688683896738,-1.500419559656412,-0.9527701758949118,0.4186336126755611,-1.99451401392025,-0.5278788808062617,-1.3039590366981313,-0.020588996341144486,0.31745726288576265,-0.5555555555555556,-1.0,0.0,-0.5,0.0,0.0,-1.0,-1.0,-0.5,-1.0,-0.5,-0.2201933213213402,-0.2201933213213402,-0.2201933213213402,-0.2201933213213402,-0.2201933213213402,-0.2201933213213402,-0.2201933213213402,-0.2201933213213402,-0.2201933213213402,-0.2201933213213402,-0.2201933213213402
"without this very little southern blot, <br>that only causes cell biology, <br>not even other humans gonna rot ! <br>we never know about my human body. <br><br>is there too many people facing grains ! <br>i wanna see another penicillin ! <br>a broken body under acid stains ! <br>and banging on an empty cell division.",hafez,-0.23282958567142487,-0.24674943089485168,-0.25512415170669556,-0.2571236193180084,-0.25311946868896484,-0.2580752372741699,-0.24606779217720032,-0.261139839887619,-0.2554869055747986,-0.2540041506290436,-0.2517411708831787,0.7853942902317778,0.7853942902317778,0.4571823665475732,-0.7705321299314244,-1.2047847807158312,0.08958238792146536,0.5240819900719008,0.08563021316705362,-0.6544784622074056,2.4642916135299124,1.0404336360537878,0.14814814814814814,0.5,0.0,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.16666666666666666,0.5,0.3333333333333333,0.9414278653528889,0.9414278653528889,0.9414278653528889,0.9414278653528889,0.9414278653528889,0.9414278653528889,0.9414278653528889,0.9414278653528889,0.9414278653528889,0.9414278653528889,0.9414278653528889
"when the sun 's low ray in the sky . <br>and my house is waiting for the sky , <br>i shall have a song , and then <br>with a tongue , a little while ,",ngram,-0.2329113632440567,-0.24820759892463684,-0.25575146079063416,-0.2579421103000641,-0.25475266575813293,-0.2575639486312866,-0.24495770037174225,-0.2610796093940735,-0.2547524869441986,-0.25395888090133667,-0.25250545144081116,1.1267498643865554,1.1267498643865554,2.6921212012448885,-0.9855912472956613,-0.3441051786204022,1.7999933033895203,0.14605749938533258,0.2683477818310769,0.9099747609053311,1.72888236766998,0.6050192135591694,0.6296296296296297,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.7557515022336401,0.7557515022336401,0.7557515022336401,0.7557515022336401,0.7557515022336401,0.7557515022336401,0.7557515022336401,0.7557515022336401,0.7557515022336401,0.7557515022336401,0.7557515022336401
the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the wand <br>with all her cruell wand'rer as he rides along <br>the meanest serf on sir launfal,gpt2,-0.2328815907239914,-0.24643099308013916,-0.2543324828147888,-0.2553335726261139,-0.2523336708545685,-0.2557637691497803,-0.24405337870121002,-0.2585739195346832,-0.2538909912109375,-0.2521626055240631,-0.25176572799682617,-0.6445223602012697,-0.6445223602012697,2.0751008024655073,-1.6532365132387528,-0.6758933392323961,0.1557021661528689,-0.5796399897870195,-0.38598519524561054,-1.42744875153137,1.097149038216121,0.10294701834100485,-0.22875816993464052,-0.17647058823529413,0.17647058823529413,-0.17647058823529413,-0.29411764705882354,-0.4117647058823529,-0.4117647058823529,-0.17647058823529413,-0.4117647058823529,-0.17647058823529413,-0.29411764705882354,0.06100445673952402,0.06100445673952402,0.06100445673952402,0.06100445673952402,0.06100445673952402,0.06100445673952402,0.06100445673952402,0.06100445673952402,0.06100445673952402,0.06100445673952402,0.06100445673952402
"bear witness , once my comrades , what a hard-bit gang were we —<br>the servants of the sweep-head , but the masters of the sea !<br>by the hands that drove her forward as she plunged and yawed and<br>sheered ,<br>woman , man , or god , or devil , was there anything we feared ?",gutenberg,-0.23289284110069275,-0.24865251779556274,-0.255435973405838,-0.25744661688804626,-0.25413957238197327,-0.25744399428367615,-0.24512937664985657,-0.2611244320869446,-0.2547338902950287,-0.2544481158256531,-0.25194889307022095,-1.4829172016579244,-1.4829172016579244,-0.27155222690490516,-1.654285254817183,-2.7151684009218706,0.7750894959916593,-0.3415232419018213,0.20473665106085123,-0.1884525932682912,2.957032045585123,0.0789045034122684,-0.24444444444444444,-0.2,-0.6,-0.2,-0.6,-0.6,-0.6,-0.2,0.2,0.6,-0.2,-0.38128097156535035,-0.38128097156535035,-0.38128097156535035,-0.38128097156535035,-0.38128097156535035,-0.38128097156535035,-0.38128097156535035,-0.38128097156535035,-0.38128097156535035,-0.38128097156535035,-0.38128097156535035
"the day of the world shall come , and the world is free ! <br>i am not longer , my love , <br>and the simple power of all the rest . ” <br>the spirit of the silver",ngram,-0.23283223807811737,-0.2461402714252472,-0.2552149295806885,-0.25710999965667725,-0.253965824842453,-0.25809794664382935,-0.24487456679344177,-0.26043835282325745,-0.2542622685432434,-0.2531428933143616,-0.2506639361381531,-0.8146869976923344,-0.8146869976923344,0.4588126757745648,-1.2821386774989425,-2.2272964740400045,1.5275504499331698,0.9418828105550646,-0.1334543461220922,-0.11480655755472799,1.0962511697049222,0.8382986692127217,0.2222222222222222,0.2,0.0,0.2,0.0,0.2,0.6,0.4,0.2,0.2,0.6,0.4101974543805895,0.4101974543805895,0.4101974543805895,0.4101974543805895,0.4101974543805895,0.4101974543805895,0.4101974543805895,0.4101974543805895,0.4101974543805895,0.4101974543805895,0.4101974543805895
"because) he always answered better, more,<br>perhaps, because he always answered( track,<br>before and after, progress, any score,<br>before, before the picture, any, all,<br>before the pictures ever happened) he,<br>because the picture always happens small,<br>because the picture always happened free,<br>because he only answered free because,<br>because, because. because because he draws.",true_poetry,-0.23285014927387238,-0.2450302690267563,-0.2539420425891876,-0.25634148716926575,-0.25287291407585144,-0.25641584396362305,-0.24320386350154877,-0.25920912623405457,-0.2536904811859131,-0.2526412606239319,-0.2512817680835724,-1.6017094036982258,-1.6017094036982258,1.4333471966024554,-0.34906243661923964,-1.4366422994151937,1.2609107977226766,0.6218381729155384,0.23505221010158578,0.6880672449710302,-1.1564953371808766,1.5558376075511469,-0.05555555555555555,-0.16666666666666666,0.0,-0.3333333333333333,0.16666666666666666,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.3333333333333333,-0.3333333333333333,0.16666666666666666,-0.034036347752082786,-0.034036347752082786,-0.034036347752082786,-0.034036347752082786,-0.034036347752082786,-0.034036347752082786,-0.034036347752082786,-0.034036347752082786,-0.034036347752082786,-0.034036347752082786,-0.034036347752082786
"about an unemployment compensation. <br>is wrong but then some kids have fluent speakers, <br>their latest music on discrimination ! <br>they really wanna try to battle preachers. <br><br>we know another very lesson plan ! <br>as when the only little alto clef, <br>would ever mention me and horace mann ! <br>or see a million women getting deaf.",hafez,-0.23285910487174988,-0.2439926564693451,-0.2543664276599884,-0.258051335811615,-0.2522648870944977,-0.25735369324684143,-0.24259808659553528,-0.25948527455329895,-0.2548062801361084,-0.2535257935523987,-0.2516655921936035,-1.6085039570197306,-1.6085039570197306,2.3310712432256984,0.04367405621419379,-2.0012460354181965,0.22585997550964404,0.9077087577078731,0.09972138058466196,-0.2425884041480931,-1.745352953946077,1.6669256714448373,-0.05555555555555555,0.0,0.5,0.5,0.0,-0.5,0.0,0.0,-0.5,-0.5,0.0,0.3692811797492421,0.3692811797492421,0.3692811797492421,0.3692811797492421,0.3692811797492421,0.3692811797492421,0.3692811797492421,0.3692811797492421,0.3692811797492421,0.3692811797492421,0.3692811797492421
"and when the child grew strive ,<br>and all the anguish become man .<br>we use his master<br>to earth and older , has they sink the horns .<br>the river comes , now still far , still comes clear ,<br>hear the clear feels",lstm,-0.23280735313892365,-0.2480916678905487,-0.2567754089832306,-0.2580024003982544,-0.25481006503105164,-0.2592849135398865,-0.24613822996616364,-0.26179003715515137,-0.25548043847084045,-0.25387638807296753,-0.2560126781463623,-0.49140759701706216,-0.49140759701706216,2.250590224139397,0.08495254632128611,-0.2902905656262851,1.1915009021197345,1.365621441680204,-2.14605205387497,0.21685963259840946,0.3503987232204893,0.003166814394936879,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,-1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.5648582048727443,0.5648582048727443,0.5648582048727443,0.5648582048727443,0.5648582048727443,0.5648582048727443,0.5648582048727443,0.5648582048727443,0.5648582048727443,0.5648582048727443,0.5648582048727443
"it is because the ships beside the shore<br>spread their dark sails to the sea-blowing breeze ;<br>the tide is high , and soon will set toward the distant islands ,<br>and there is a gleam of swords and armour ,<br>for the soldiers go to war beyond the seas .",gutenberg,-0.2328094094991684,-0.24618487060070038,-0.25612831115722656,-0.2571260929107666,-0.2535179853439331,-0.25715965032577515,-0.24362754821777344,-0.2603895664215088,-0.25321945548057556,-0.2534392774105072,-0.25191596150398254,-2.431211338759013,-2.431211338759013,3.592575464862407,-0.8199438969017347,-3.9168857647281734,1.4137763561037457,2.9629688574682245,3.4903469426081224,0.6957792664387535,1.6686484496871499,3.225678932021632,0.48148148148148145,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.03979508164159768,-0.03979508164159768,-0.03979508164159768,-0.03979508164159768,-0.03979508164159768,-0.03979508164159768,-0.03979508164159768,-0.03979508164159768,-0.03979508164159768,-0.03979508164159768,-0.03979508164159768
